Sample_id,Parasite_Concentration,Parasite,Threshold,AmpRate,log_parasitemia,log_OR_AmplRate
001-GZ,1053.21369293024,P. vivax,1,0.534136546184739,10.0405824678945,0.220599139513397
001-GZ,1053.21369293024,P. vivax,5,0.522088353413655,10.0405824678945,0.15077995217561
001-GZ,1053.21369293024,P. vivax,10,0.453815261044177,10.0405824678945,-0.24392558288609
001-GZ,1053.21369293024,P. vivax,20,0.36144578313253,10.0405824678945,-0.795986107978407
001-GZ,1053.21369293024,P. vivax,50,0.152610441767068,10.0405824678945,-2.42884329880387
001-GZ,1053.21369293024,P. vivax,100,0.0763052208835341,10.0405824678945,-3.51727569320958
104-GZ,65.4412633361302,P. vivax,1,0.257028112449799,6.0321286944992,-1.50119414302856
104-GZ,65.4412633361302,P. vivax,5,0.240963855421687,6.0321286944992,-1.62385151411475
104-GZ,65.4412633361302,P. vivax,10,0.14859437751004,6.0321286944992,-2.4731716752636
104-GZ,65.4412633361302,P. vivax,20,0.0763052208835341,6.0321286944992,-3.51727569320958
104-GZ,65.4412633361302,P. vivax,50,0.0240963855421687,6.0321286944992,-5.11150831521699
104-GZ,65.4412633361302,P. vivax,100,0.0120481927710843,6.0321286944992,-5.93663793900257
107-GZ,38.6420862591246,P. vivax,1,0.172690763052209,5.27210108125676,-2.22004848086815
107-GZ,38.6420862591246,P. vivax,5,0.116465863453815,5.27210108125676,-2.86789646399265
107-GZ,38.6420862591246,P. vivax,10,0.072289156626506,5.27210108125676,-3.59756253750079
107-GZ,38.6420862591246,P. vivax,20,0.0441767068273092,5.27210108125676,-4.3037807481771
107-GZ,38.6420862591246,P. vivax,50,0.0200803212851406,5.27210108125676,-5.33985000288462
107-GZ,38.6420862591246,P. vivax,100,0.0120481927710843,5.27210108125676,-5.93663793900257
110-GZ,333.036906580339,P. vivax,1,0.0923694779116466,8.37953825292731,-3.22881869049588
110-GZ,333.036906580339,P. vivax,5,0.0682730923694779,8.37953825292731,-3.68182403997375
110-GZ,333.036906580339,P. vivax,10,0.0321285140562249,8.37953825292731,-4.73696559416621
110-GZ,333.036906580339,P. vivax,20,0.0281124497991968,8.37953825292731,-4.91288933622996
110-GZ,333.036906580339,P. vivax,50,0.0160642570281124,8.37953825292731,-5.60880924267552
110-GZ,333.036906580339,P. vivax,100,0.00401606425702811,8.37953825292731,-6.94836723158468
116-GZ,926.358826827661,P. vivax,1,0.14859437751004,9.85542732214808,-2.4731716752636
116-GZ,926.358826827661,P. vivax,5,0.100401606425703,9.85542732214808,-3.10046018177921
116-GZ,926.358826827661,P. vivax,10,0.0401606425702811,9.85542732214808,-4.43538614467065
116-GZ,926.358826827661,P. vivax,20,0.0240963855421687,9.85542732214808,-5.11150831521699
116-GZ,926.358826827661,P. vivax,50,0.0160642570281124,9.85542732214808,-5.60880924267552
116-GZ,926.358826827661,P. vivax,100,0,9.85542732214808,-7.95419631038687
118-GZ,375.920943288124,P. vivax,1,0.558232931726908,8.55428548274607,0.36109869216804
118-GZ,375.920943288124,P. vivax,5,0.538152610441767,8.55428548274607,0.24392558288609
118-GZ,375.920943288124,P. vivax,10,0.429718875502008,8.55428548274607,-0.384663850235325
118-GZ,375.920943288124,P. vivax,20,0.285140562248996,8.55428548274607,-1.29768054864069
118-GZ,375.920943288124,P. vivax,50,0.116465863453815,8.55428548274607,-2.86789646399265
118-GZ,375.920943288124,P. vivax,100,0.072289156626506,8.55428548274607,-3.59756253750079
165-GZ,3434.38152880706,P. vivax,1,0.132530120481928,11.7458346033099,-2.66073000833912
165-GZ,3434.38152880706,P. vivax,5,0.0963855421686747,11.7458346033099,-3.16349873228288
165-GZ,3434.38152880706,P. vivax,10,0.0481927710843374,11.7458346033099,-4.18220333122075
165-GZ,3434.38152880706,P. vivax,20,0.0120481927710843,11.7458346033099,-5.93663793900257
165-GZ,3434.38152880706,P. vivax,50,0.0120481927710843,11.7458346033099,-5.93663793900257
165-GZ,3434.38152880706,P. vivax,100,0.00803212851405622,11.7458346033099,-6.35755200461808
174-GZ,79.300104245248,P. vivax,1,0.405622489959839,6.30925085733621,-0.527247002864869
174-GZ,79.300104245248,P. vivax,5,0.365461847389558,6.30925085733621,-0.771058792834614
174-GZ,79.300104245248,P. vivax,10,0.236947791164659,6.30925085733621,-1.65535182861255
174-GZ,79.300104245248,P. vivax,20,0.136546184738956,6.30925085733621,-2.61218396945618
174-GZ,79.300104245248,P. vivax,50,0.072289156626506,6.30925085733621,-3.59756253750079
174-GZ,79.300104245248,P. vivax,100,0.0321285140562249,6.30925085733621,-4.73696559416621
175-GZ,83.0336449151265,P. vivax,1,0.228915662650602,6.37562412432157,-1.71944783290818
175-GZ,83.0336449151265,P. vivax,5,0.216867469879518,6.37562412432157,-1.81855312866247
175-GZ,83.0336449151265,P. vivax,10,0.136546184738956,6.37562412432157,-2.61218396945618
175-GZ,83.0336449151265,P. vivax,20,0.072289156626506,6.37562412432157,-3.59756253750079
175-GZ,83.0336449151265,P. vivax,50,0.0240963855421687,6.37562412432157,-5.11150831521699
175-GZ,83.0336449151265,P. vivax,100,0.0120481927710843,6.37562412432157,-5.93663793900257
182-GZ,76.0996360413348,P. vivax,1,0.100401606425703,6.2498176487132,-3.10046018177921
182-GZ,76.0996360413348,P. vivax,5,0.0642570281124498,6.2498176487132,-3.77051815387723
182-GZ,76.0996360413348,P. vivax,10,0.036144578313253,6.2498176487132,-4.57893871309339
182-GZ,76.0996360413348,P. vivax,20,0.0160642570281124,6.2498176487132,-5.60880924267552
182-GZ,76.0996360413348,P. vivax,50,0.00401606425702811,6.2498176487132,-6.94836723158468
182-GZ,76.0996360413348,P. vivax,100,0.00401606425702811,6.2498176487132,-6.94836723158468
183-GZ,201.713572331233,P. vivax,1,0.397590361445783,7.65616434896706,-0.575312330687437
183-GZ,201.713572331233,P. vivax,5,0.36144578313253,7.65616434896706,-0.795986107978407
183-GZ,201.713572331233,P. vivax,10,0.261044176706827,7.65616434896706,-1.47130571892559
183-GZ,201.713572331233,P. vivax,20,0.120481927710843,7.65616434896706,-2.81398801439005
183-GZ,201.713572331233,P. vivax,50,0.0522088353413655,7.65616434896706,-4.0691620245074
183-GZ,201.713572331233,P. vivax,100,0.0160642570281124,7.65616434896706,-5.60880924267552
190-GZ,10.1287209276512,P. vivax,1,0.224899598393574,3.3403800945107,-1.75207248655641
190-GZ,10.1287209276512,P. vivax,5,0.180722891566265,3.3403800945107,-2.14177396112816
190-GZ,10.1287209276512,P. vivax,10,0.112449799196787,3.3403800945107,-2.92337871839709
190-GZ,10.1287209276512,P. vivax,20,0.0642570281124498,3.3403800945107,-3.77051815387723
190-GZ,10.1287209276512,P. vivax,50,0.0281124497991968,3.3403800945107,-4.91288933622996
190-GZ,10.1287209276512,P. vivax,100,0.0281124497991968,3.3403800945107,-4.91288933622996
193-GZ,15.8272587810203,P. vivax,1,0.0200803212851406,3.98433950289049,-5.33985000288462
193-GZ,15.8272587810203,P. vivax,5,0.0120481927710843,3.98433950289049,-5.93663793900257
193-GZ,15.8272587810203,P. vivax,10,0.0120481927710843,3.98433950289049,-5.93663793900257
193-GZ,15.8272587810203,P. vivax,20,0.00401606425702811,3.98433950289049,-6.94836723158468
193-GZ,15.8272587810203,P. vivax,50,0,3.98433950289049,-7.95419631038687
193-GZ,15.8272587810203,P. vivax,100,0,3.98433950289049,-7.95419631038687
200-GZ,353.133315498422,P. vivax,1,0.0200803212851406,8.46406912482591,-5.33985000288462
200-GZ,353.133315498422,P. vivax,5,0.0160642570281124,8.46406912482591,-5.60880924267552
200-GZ,353.133315498422,P. vivax,10,0.00401606425702811,8.46406912482591,-6.94836723158468
200-GZ,353.133315498422,P. vivax,20,0.00401606425702811,8.46406912482591,-6.94836723158468
200-GZ,353.133315498422,P. vivax,50,0.00401606425702811,8.46406912482591,-6.94836723158468
200-GZ,353.133315498422,P. vivax,100,0.00401606425702811,8.46406912482591,-6.94836723158468
201-GZ,667.462336508764,P. vivax,1,0.429718875502008,9.38254262063475,-0.384663850235325
201-GZ,667.462336508764,P. vivax,5,0.397590361445783,9.38254262063475,-0.575312330687437
201-GZ,667.462336508764,P. vivax,10,0.301204819277108,9.38254262063475,-1.18670071419314
201-GZ,667.462336508764,P. vivax,20,0.180722891566265,9.38254262063475,-2.14177396112816
201-GZ,667.462336508764,P. vivax,50,0.0763052208835341,9.38254262063475,-3.51727569320958
201-GZ,667.462336508764,P. vivax,100,0.0240963855421687,9.38254262063475,-5.11150831521699
213-GZ,161.673313993921,P. vivax,1,0.29718875502008,7.3369377551301,-1.21412480535285
213-GZ,161.673313993921,P. vivax,5,0.261044176706827,7.3369377551301,-1.47130571892559
213-GZ,161.673313993921,P. vivax,10,0.156626506024096,7.3369377551301,-2.38543103719352
213-GZ,161.673313993921,P. vivax,20,0.0682730923694779,7.3369377551301,-3.68182403997375
213-GZ,161.673313993921,P. vivax,50,0.0321285140562249,7.3369377551301,-4.73696559416621
213-GZ,161.673313993921,P. vivax,100,0.0160642570281124,7.3369377551301,-5.60880924267552
029-GZ,99.9885049984136,P. vivax,1,0.104417670682731,6.64369034242463,-3.03952836418664
029-GZ,99.9885049984136,P. vivax,5,0.0763052208835341,6.64369034242463,-3.51727569320958
029-GZ,99.9885049984136,P. vivax,10,0.0321285140562249,6.64369034242463,-4.73696559416621
029-GZ,99.9885049984136,P. vivax,20,0.0120481927710843,6.64369034242463,-5.93663793900257
029-GZ,99.9885049984136,P. vivax,50,0.00803212851405622,6.64369034242463,-6.35755200461808
029-GZ,99.9885049984136,P. vivax,100,0.00401606425702811,6.64369034242463,-6.94836723158468
032-GZ,53.2399695580993,P. vivax,1,0.55421686746988,5.73443784122372,0.337581359198848
032-GZ,53.2399695580993,P. vivax,5,0.530120481927711,5.73443784122372,0.197301440373618
032-GZ,53.2399695580993,P. vivax,10,0.433734939759036,5.73443784122372,-0.36109869216804
032-GZ,53.2399695580993,P. vivax,20,0.289156626506024,5.73443784122372,-1.26960705975728
032-GZ,53.2399695580993,P. vivax,50,0.144578313253012,5.73443784122372,-2.51846708893425
032-GZ,53.2399695580993,P. vivax,100,0.0923694779116466,5.73443784122372,-3.22881869049588
069-GZ,1328.25649909993,P. vivax,1,0.453815261044177,10.375318056533,-0.24392558288609
069-GZ,1328.25649909993,P. vivax,5,0.433734939759036,10.375318056533,-0.36109869216804
069-GZ,1328.25649909993,P. vivax,10,0.337349397590361,10.375318056533,-0.948161068480382
069-GZ,1328.25649909993,P. vivax,20,0.21285140562249,10.375318056533,-1.85244281158614
069-GZ,1328.25649909993,P. vivax,50,0.0963855421686747,10.375318056533,-3.16349873228288
069-GZ,1328.25649909993,P. vivax,100,0.0481927710843374,10.375318056533,-4.18220333122075
070-GZ,144.731528447753,P. vivax,1,0.248995983935743,7.1772354238801,-1.56187888760812
070-GZ,144.731528447753,P. vivax,5,0.196787148594378,7.1772354238801,-1.99276843076892
070-GZ,144.731528447753,P. vivax,10,0.132530120481928,7.1772354238801,-2.66073000833912
070-GZ,144.731528447753,P. vivax,20,0.0602409638554217,7.1772354238801,-3.86418614465428
070-GZ,144.731528447753,P. vivax,50,0.0200803212851406,7.1772354238801,-5.33985000288462
070-GZ,144.731528447753,P. vivax,100,0.0120481927710843,7.1772354238801,-5.93663793900257
071-GZ,74.1002530838153,P. vivax,1,0.0240963855421687,6.21140656484279,-5.11150831521699
071-GZ,74.1002530838153,P. vivax,5,0.00803212851405622,6.21140656484279,-6.35755200461808
071-GZ,74.1002530838153,P. vivax,10,0.00401606425702811,6.21140656484279,-6.94836723158468
071-GZ,74.1002530838153,P. vivax,20,0.00401606425702811,6.21140656484279,-6.94836723158468
071-GZ,74.1002530838153,P. vivax,50,0.00401606425702811,6.21140656484279,-6.94836723158468
071-GZ,74.1002530838153,P. vivax,100,0,6.21140656484279,-7.95419631038687
076-GZ,1473.64747130672,P. vivax,1,0.253012048192771,10.5251757261739,-1.53138146051631
076-GZ,1473.64747130672,P. vivax,5,0.228915662650602,10.5251757261739,-1.71944783290818
076-GZ,1473.64747130672,P. vivax,10,0.120481927710843,10.5251757261739,-2.81398801439005
076-GZ,1473.64747130672,P. vivax,20,0.0642570281124498,10.5251757261739,-3.77051815387723
076-GZ,1473.64747130672,P. vivax,50,0.0240963855421687,10.5251757261739,-5.11150831521699
076-GZ,1473.64747130672,P. vivax,100,0.0120481927710843,10.5251757261739,-5.93663793900257
094-GZ,35.2682625624098,P. vivax,1,0.0562248995983936,5.14029860021388,-3.96347412397489
094-GZ,35.2682625624098,P. vivax,5,0.0401606425702811,5.14029860021388,-4.43538614467065
094-GZ,35.2682625624098,P. vivax,10,0.0160642570281124,5.14029860021388,-5.60880924267552
094-GZ,35.2682625624098,P. vivax,20,0.0160642570281124,5.14029860021388,-5.60880924267552
094-GZ,35.2682625624098,P. vivax,50,0.0120481927710843,5.14029860021388,-5.93663793900257
094-GZ,35.2682625624098,P. vivax,100,0.00803212851405622,5.14029860021388,-6.35755200461808
096-GZ,9.22384181207821,P. vivax,1,0.0562248995983936,3.20536777113287,-3.96347412397489
096-GZ,9.22384181207821,P. vivax,5,0.0562248995983936,3.20536777113287,-3.96347412397489
096-GZ,9.22384181207821,P. vivax,10,0.0321285140562249,3.20536777113287,-4.73696559416621
096-GZ,9.22384181207821,P. vivax,20,0.0200803212851406,3.20536777113287,-5.33985000288462
096-GZ,9.22384181207821,P. vivax,50,0.00803212851405622,3.20536777113287,-6.35755200461808
096-GZ,9.22384181207821,P. vivax,100,0,3.20536777113287,-7.95419631038687
097-GZ,29.3991593627895,P. vivax,1,0.0240963855421687,4.87770299823221,-5.11150831521699
097-GZ,29.3991593627895,P. vivax,5,0.0160642570281124,4.87770299823221,-5.60880924267552
097-GZ,29.3991593627895,P. vivax,10,0.0120481927710843,4.87770299823221,-5.93663793900257
097-GZ,29.3991593627895,P. vivax,20,0.00803212851405622,4.87770299823221,-6.35755200461808
097-GZ,29.3991593627895,P. vivax,50,0,4.87770299823221,-7.95419631038687
097-GZ,29.3991593627895,P. vivax,100,0,4.87770299823221,-7.95419631038687
H-0118,1454.56501865966,P. vivax,1,0.839357429718876,10.5063720706165,2.42884329880388
H-0118,1454.56501865966,P. vivax,5,0.839357429718876,10.5063720706165,2.42884329880388
H-0118,1454.56501865966,P. vivax,10,0.795180722891566,10.5063720706165,1.99276843076892
H-0118,1454.56501865966,P. vivax,20,0.72289156626506,10.5063720706165,1.41238304583287
H-0118,1454.56501865966,P. vivax,50,0.566265060240964,10.5063720706165,0.408280133103536
H-0118,1454.56501865966,P. vivax,100,0.437751004016064,10.5063720706165,-0.337581359198848
H-0122,120.927853382786,P. vivax,1,0.734939759036145,6.91800276942435,1.50119414302856
H-0122,120.927853382786,P. vivax,5,0.72289156626506,6.91800276942435,1.41238304583287
