Sample_id,order_in_plate,typeofSamp,Run,Country,Strata,sample_ampl_rate,Total_ReadDepth,Mean_ReadDepth,SD_ReadDepth,Median_ReadDepth,IQR_ReadDepth,q25_ReadDepth,q75_ReadDepth,SamplePlate_ID,SamplePlate_Well_Position,Parasite_qPCR,Cq,Parasite_Concentration
G4G2526,203,Samples,Run2,Guyana,Guyana,0.984375,97023,513.349206349206,1256.74388238691,250,429,87,516,NA,NA,NA,NA,NA
G4G2527,202,Samples,Run2,Guyana,Guyana,0.984375,101316,536.063492063492,1903.1912047676,164,292,54,346,NA,NA,NA,NA,NA
G4G2528,132,Samples,Run2,Guyana,Guyana,0.833333333333333,11496,71.85,174.258183352773,32,49.75,17,66.75,NA,NA,NA,NA,NA
G4G2532,226,Samples,Run2,Guyana,Guyana,0.614583333333333,5495,46.5677966101695,89.9383909559936,21,27.75,13,40.75,NA,NA,NA,NA,NA
G4G2533,227,Samples,Run2,Guyana,Guyana,0.588541666666667,5687,50.3274336283186,100.005039379976,26,41,12,53,NA,NA,NA,NA,NA
G4G2541,146,Samples,Run2,Guyana,Guyana,0.635416666666667,7333,60.1065573770492,99.5437365876705,26.5,41.5,12.25,53.75,NA,NA,NA,NA,NA
G4G2544,147,Samples,Run2,Guyana,Guyana,0.510416666666667,3775,38.5204081632653,65.9767577932096,23,27.25,10.25,37.5,NA,NA,NA,NA,NA
G4G2545,86,Samples,Run2,Guyana,Guyana,0.838541666666667,21171,131.496894409938,294.485464926191,55,102,22,124,NA,NA,NA,NA,NA
G4G2549,87,Samples,Run2,Guyana,Guyana,0.817708333333333,14509,92.4140127388535,187.268559539844,40,61,19,80,NA,NA,NA,NA,NA
G4G2556,77,Samples,Run2,Guyana,Guyana,0.916666666666667,26679,151.585227272727,264.324418866458,64.5,123.75,27.75,151.5,NA,NA,NA,NA,NA
G4G2564,131,Samples,Run2,Guyana,Guyana,0.692708333333333,8110,60.9774436090226,148.95374847356,23,37,12,49,NA,NA,NA,NA,NA
G4G2569,145,Samples,Run2,Guyana,Guyana,0.833333333333333,20699,129.36875,259.786042151115,54,100.25,19,119.25,NA,NA,NA,NA,NA
G4G2573,89,Samples,Run2,Guyana,Guyana,0.984375,102684,543.301587301587,1487.30625738015,230,472,80,552,NA,NA,NA,NA,NA
G4G2589,130,Samples,Run2,Guyana,Guyana,0.864583333333333,14187,85.4638554216867,151.055504210599,47,68.25,18,86.25,NA,NA,NA,NA,NA
G4G2592,263,Samples,Run2,Guyana,Guyana,0.59375,4222,37.0350877192982,59.8852782039748,18,23,12,35,NA,NA,NA,NA,NA
G4G2597,265,Samples,Run2,Guyana,Guyana,0.869791666666667,21806,130.574850299401,306.974831337238,55,82,22.5,104.5,NA,NA,NA,NA,NA
G4G2603,249,Samples,Run2,Guyana,Guyana,0.630208333333333,5819,48.0909090909091,115.121168050595,20,27,13,40,NA,NA,NA,NA,NA
G4G2610,246,Samples,Run2,Guyana,Guyana,0.770833333333333,11240,75.945945945946,155.47367971941,36,52.25,15,67.25,NA,NA,NA,NA,NA
G4G2628,286,Samples,Run2,Guyana,Guyana,0.572916666666667,5449,49.5363636363636,68.9221974965719,27,38.5,14,52.5,NA,NA,NA,NA,NA
G4G3225,386,Samples,Run2,Guyana,Guyana,0.630208333333333,20221,167.115702479339,514.718712665514,47,97,21,118,NA,NA,NA,NA,NA
G7B0472,143,Samples,Run2,Guyana,Guyana,0.984375,44398,234.910052910053,371.604753643325,127,219,54,273,NA,NA,NA,NA,NA
G7B0473,144,Samples,Run2,Guyana,Guyana,0.911458333333333,29249,167.137142857143,353.25911746514,80,141.5,28.5,170,NA,NA,NA,NA,NA
G7B0477,116,Samples,Run2,Guyana,Guyana,0.53125,3935,38.578431372549,89.0698286833059,17.5,19,10,29,NA,NA,NA,NA,NA
G7B0480,115,Samples,Run2,Guyana,Guyana,0.739583333333333,10746,75.6760563380282,212.03052601369,26,41.5,13,54.5,NA,NA,NA,NA,NA
G7B0483,113,Samples,Run2,Guyana,Guyana,0.567708333333333,4185,38.394495412844,90.9407640280834,18,25,11,36,NA,NA,NA,NA,NA
G9L0034,93,Samples,Run2,Guyana,Guyana,0.666666666666667,7713,60.2578125,107.710697828364,29,40,14.75,54.75,NA,NA,NA,NA,NA
G9L0107,396,Samples,Run2,Guyana,Guyana,0.645833333333333,17743,143.088709677419,531.291370645052,31,64.75,12,76.75,NA,NA,NA,NA,NA
G9L0117,391,Samples,Run2,Guyana,Guyana,0.598958333333333,9069,78.8608695652174,183.065700360171,28,48.5,14.5,63,NA,NA,NA,NA,NA
G9L0120,397,Samples,Run2,Guyana,Guyana,0.697916666666667,11665,87.0522388059701,232.647279479227,28,54,15,69,NA,NA,NA,NA,NA
G9L0127,387,Samples,Run2,Guyana,Guyana,0.78125,19763,131.753333333333,379.269537005312,34.5,66.75,15.25,82,NA,NA,NA,NA,NA
G9L0140,395,Samples,Run2,Guyana,Guyana,0.567708333333333,7729,70.908256880734,168.307783610222,24,52,12,64,NA,NA,NA,NA,NA
HRP0302,382,Samples,Run2,Venezuela,Venezuela,0.90625,45191,259.718390804598,553.427654524755,71.5,206.5,27.25,233.75,VENEZ 005,D10,P. vivax,22.678802923623,4.79162425125068
HRP0305,384,Samples,Run2,Venezuela,Venezuela,0.979166666666667,91653,487.515957446808,1382.52205976371,181.5,340.5,62,402.5,VENEZ 005,D12,P. vivax,15.8103335115951,419.670902752041
HRP0352,355,Samples,Run2,Venezuela,Venezuela,0.614583333333333,24630,208.728813559322,688.989854675991,31.5,117.5,15,132.5,VENEZ 005,B07,P. vivax,19.7632582813075,31.9895788965479
HRP0353,356,Samples,Run2,Venezuela,Venezuela,0.848958333333333,44538,273.239263803681,1432.06564886054,57,157,19.5,176.5,VENEZ 005,B08,P. vivax,19.4800789126449,38.4673788816096
HRP0354,357,Samples,Run2,Venezuela,Venezuela,0.864583333333333,54632,329.10843373494,948.576905552007,96.5,213.25,30,243.25,VENEZ 005,B09,P. vivax,19.7840898560673,31.5585676908867
HRP0355,358,Samples,Run2,Venezuela,Venezuela,0.927083333333333,124152,697.483146067416,1465.65196238929,208,496,60,556,VENEZ 005,B10,P. vivax,22.9312841026537,4.06518423826319
HRP0356,359,Samples,Run2,Venezuela,Venezuela,0.994791666666667,100311,525.188481675393,2020.33733141491,204,382.5,62,444.5,VENEZ 005,B11,P. vivax,17.5225011785646,137.626517506824
HRP0357,360,Samples,Run2,Venezuela,Venezuela,0.963541666666667,94384,510.183783783784,1680.36424905977,163,331,62,393,VENEZ 005,B12,P. vivax,16.9105896814206,204.999469466334
HRP0358,361,Samples,Run2,Venezuela,Venezuela,0.984375,81074,428.962962962963,945.622334594943,188,411,74,485,VENEZ 005,C01,P. vivax,15.0250992296175,699.802900803983
HRP0359,362,Samples,Run2,Venezuela,Venezuela,0.994791666666667,292504,1531.43455497382,2637.92973942979,777,1085,339,1424,VENEZ 005,C02,P. vivax,17.0874902764819,182.694156925171
HRP0360,363,Samples,Run2,Venezuela,Venezuela,0.822916666666667,29795,188.575949367089,611.573987840062,63,159.25,23,182.25,VENEZ 005,C03,P. vivax,19.1920565792082,46.403022918955
HRP0361,364,Samples,Run2,Venezuela,Venezuela,0.989583333333333,374025,1968.55263157895,4792.44559354162,802,1717,320.75,2037.75,VENEZ 005,C04,P. vivax,16.1188462391953,343.289427710819
HRP0362,365,Samples,Run2,Venezuela,Venezuela,0.875,49507,294.684523809524,985.964563985796,56,140.25,22.75,163,VENEZ 005,C05,P. vivax,20.2803447656879,22.8441360109987
HRP0363,366,Samples,Run2,Venezuela,Venezuela,0.901041666666667,32599,188.433526011561,367.268345636649,73,137,33,170,VENEZ 005,C06,P. vivax,15.5430375282703,499.460395254236
HRP0364,367,Samples,Run2,Venezuela,Venezuela,0.989583333333333,86886,457.294736842105,726.261709992152,192,455.5,71,526.5,VENEZ 005,C07,P. vivax,18.2086999958481,88.0324526476239
HRP0365,368,Samples,Run2,Venezuela,Venezuela,0.84375,24679,152.33950617284,510.665296951255,49,95.5,24.5,120,VENEZ 005,C08,P. vivax,20.2057123277059,23.9817593211051
HRP0366,369,Samples,Run2,Venezuela,Venezuela,0.536458333333333,5827,56.5728155339806,93.4700960821315,24,39,15,54,VENEZ 005,C09,P. vivax,16.77909323026,223.326558268566
HRP0367,370,Samples,Run2,Venezuela,Venezuela,0.984375,109931,581.645502645503,1692.19315589405,229,492,91,583,VENEZ 005,C10,P. vivax,17.794454281595,115.290327860044
HRP0369,372,Samples,Run2,Venezuela,Venezuela,0.979166666666667,97527,518.760638297872,2038.57664278188,141,379,49,428,VENEZ 005,C12,P. vivax,18.2998423349071,82.9597517301799
HRP0370,373,Samples,Run2,Venezuela,Venezuela,0.953125,37326,203.967213114754,721.775869306061,77,143,35.5,178.5,VENEZ 005,D01,P. vivax,18.161027634318,90.8081242604125
HRP0372,375,Samples,Run2,Venezuela,Venezuela,0.90625,73370,421.666666666667,918.500948444188,183,381,72.25,453.25,VENEZ 005,D03,P. vivax,18.0555418698706,97.2649642895485
HRP0373,376,Samples,Run2,Venezuela,Venezuela,0.895833333333333,17405,101.191860465116,243.228632468833,45.5,74,21,95,VENEZ 005,D04,P. vivax,15.7474662519203,437.207829070046
HRP0375,379,Samples,Run2,Venezuela,Venezuela,0.942708333333333,53153,293.662983425414,1292.00512219915,114,198,34,232,VENEZ 005,D07,P. vivax,18.283792286521,83.8313482675399
HRP0376,380,Samples,Run2,Venezuela,Venezuela,0.864583333333333,29040,174.939759036145,818.490278343593,57,94.75,18,112.75,VENEZ 005,D08,P. vivax,17.1879086072328,171.129947875098
HRP0377,337,Samples,Run2,Venezuela,Venezuela,0.973958333333333,105669,565.07486631016,1862.14548903191,176,449,59.5,508.5,VENEZ 005,A01,P. vivax,17.7195543123202,121.052799040156
HRP0378,338,Samples,Run2,Venezuela,Venezuela,0.911458333333333,54074,308.994285714286,732.411985196251,112,249.5,42,291.5,VENEZ 005,A02,P. vivax,16.3727987604545,290.965707356655
HRP0379,339,Samples,Run2,Venezuela,Venezuela,0.947916666666667,69691,382.917582417582,852.86788132985,126.5,303,47,350,VENEZ 005,A03,P. vivax,16.8809645971555,208.992552382325
HRP0381,341,Samples,Run2,Venezuela,Venezuela,0.609375,9824,83.965811965812,267.491248056118,33,52,14,66,VENEZ 005,A05,P. vivax,19.0329364695358,51.4690286791955
HRP0383,343,Samples,Run2,Venezuela,Venezuela,0.911458333333333,34022,194.411428571429,813.637908314042,60,109.5,20,129.5,VENEZ 005,A07,P. vivax,17.9182603145041,106.360437320327
HRP0384,344,Samples,Run2,Venezuela,Venezuela,0.994791666666667,105534,552.534031413613,2288.86061235348,199,419,63.5,482.5,VENEZ 005,A08,P. vivax,17.574076239931,133.081142593291
HRP0385,345,Samples,Run2,Venezuela,Venezuela,0.625,16139,134.491666666667,474.249340436823,27,67.25,14,81.25,VENEZ 005,A09,P. vivax,19.1200718940285,48.6299455260209
HRP0386,346,Samples,Run2,Venezuela,Venezuela,0.90625,29806,171.298850574713,341.956834477789,67,122.75,24.25,147,VENEZ 005,A10,P. vivax,15.16557302771,638.629945430916
HRP0388,348,Samples,Run2,Venezuela,Venezuela,0.90625,53835,309.396551724138,714.378519013098,95.5,260.25,43.25,303.5,VENEZ 005,A12,P. vivax,18.0717223854074,96.2455210042365
HRP0390,351,Samples,Run2,Venezuela,Venezuela,0.984375,132079,698.830687830688,1544.36893154221,280,526,93,619,VENEZ 005,B03,P. vivax,16.2760103447277,309.894518478641
HRP0391,352,Samples,Run2,Venezuela,Venezuela,0.916666666666667,29536,167.818181818182,406.95798436566,63.5,130,28,158,VENEZ 005,B04,P. vivax,15.4525461517705,529.776049154995
HRP0393,353,Samples,Run2,Venezuela,Venezuela,0.755208333333333,17796,122.731034482759,422.683609925458,34,65,19,84,VENEZ 005,B05,P. vivax,17.0984038814959,181.400405540851
HRP0394,354,Samples,Run2,Venezuela,Venezuela,0.958333333333333,56373,306.375,1008.8831327495,106.5,208.75,44.75,253.5,VENEZ 005,B06,P. vivax,18.6023342250679,68.1273860800837
SP0101254375,320,Samples,Run2,Colombia,Colombia,0.770833333333333,11287,76.2635135135135,166.052092534814,35.5,50,17,67,Gates 070,C08,P. vivax,16.7286333032449,192.968425435247
SP0101254394,321,Samples,Run2,Colombia,Colombia,0.90625,37247,214.063218390805,512.567955763069,93.5,187.75,31.25,219,Gates 070,C09,P. vivax,15.7667823273563,370.140069724808
SP0101254422,322,Samples,Run2,Colombia,Colombia,0.994791666666667,64033,335.251308900524,922.98846413836,153,282.5,53,335.5,Gates 070,C10,P. vivax,16.947692114823,166.364697896882
SP0112286510,299,Samples,Run2,Colombia,Colombia,0.911458333333333,40830,233.314285714286,571.796451778087,104,151,37.5,188.5,Gates 070,A11,P. vivax,19.8411423379005,76.8587137852737
SP0112286511,296,Samples,Run2,Colombia,Colombia,0.6875,6732,51,92.7527288131733,23.5,34,13.75,47.75,Gates 070,A08,P. vivax,19.2458482623142,125.411259713089
SP0112286514,297,Samples,Run2,Colombia,Colombia,0.739583333333333,9392,66.1408450704225,121.30815292155,31.5,46,17,63,Gates 070,A09,P. vivax,18.953483016613,142.474682776978
SP0112286517,298,Samples,Run2,Colombia,Colombia,0.9375,29277,162.65,306.618473006482,72,146,29,175,Gates 070,A10,P. vivax,17.5955841234497,373.768327591857
SP0112286518,314,Samples,Run2,Colombia,Colombia,0.822916666666667,16770,106.139240506329,283.303296060344,45,77.75,20,97.75,Gates 070,C02,P. vivax,19.1377245949087,37.7549425268497
SP0112286543,290,Samples,Run2,Colombia,Colombia,0.953125,64752,353.83606557377,1837.42523669682,99,234,34.5,268.5,Gates 070,A02,P. vivax,20.5417048468617,47.5542242048186
SP0112286544,304,Samples,Run2,Colombia,Colombia,0.979166666666667,82314,437.840425531915,1560.04960707628,159.5,337.75,52.75,390.5,Gates 070,B04,P. vivax,18.7536337700155,223.96942220411
SP0112286546,315,Samples,Run2,Colombia,Colombia,0.984375,105129,556.238095238095,1841.85193037732,211,434,70,504,Gates 070,C03,P. vivax,16.4816705299923,228.096105672431
SP0112286564,294,Samples,Run2,Colombia,Colombia,0.776041666666667,13248,88.9127516778524,267.553882749128,41,63,18,81,Gates 070,A06,P. vivax,18.1962363318036,241.124642226684
SP0112286567,313,Samples,Run2,Colombia,Colombia,0.973958333333333,95295,509.598930481283,1933.59582976952,177,359,62,421,Gates 070,C01,P. vivax,17.303579042976,130.735948942943
SP0112286569,305,Samples,Run2,Colombia,Colombia,0.755208333333333,12495,86.1724137931034,226.801961608078,41,56,19,75,Gates 070,B05,Mixed Infection,19.3272547202294,142.327402017254
SP0112286570,291,Samples,Run2,Colombia,Colombia,0.973958333333333,99295,530.989304812834,1812.90879554385,206,434.5,73,507.5,Gates 070,A03,P. vivax,21.6500240377389,22.3367661667325
SP0112286571,292,Samples,Run2,Colombia,Colombia,0.588541666666667,8450,74.7787610619469,265.808998776554,28,51,12,63,Gates 070,A04,P. vivax,23.953388387148,4.50094684508928
SP0112286594,316,Samples,Run2,Colombia,Colombia,0.989583333333333,89183,469.384210526316,1504.40987560686,191.5,330.5,65,395.5,Gates 070,C04,P. vivax,16.4050932525623,240.236618495852
SP0112286615,317,Samples,Run2,Colombia,Colombia,0.807291666666667,13758,88.7612903225806,268.122865901257,37,58.5,18,76.5,Gates 070,C05,P. vivax,15.8632112116324,346.741976142324
SP0112286616,303,Samples,Run2,Colombia,Colombia,0.90625,38026,218.540229885057,945.414241466447,73.5,135.25,34.25,169.5,Gates 070,B03,P. vivax,21.2043124319168,70.7738015379785
SP0112286641,323,Samples,Run2,Colombia,Colombia,0.979166666666667,54706,290.989361702128,776.589912974892,111,198.25,34.75,233,Gates 070,C11,P. vivax,18.439663918832,60.5721625254008
SP0112286647,328,Samples,Run2,Colombia,Colombia,0.947916666666667,46837,257.346153846154,1146.59754458104,88.5,159.5,30.25,189.75,Gates 070,D04,P. vivax,17.4667890005987,117.056373098548
SP0112286649,327,Samples,Run2,Colombia,Colombia,0.979166666666667,58625,311.835106382979,773.545216914447,134,254.75,47,301.75,Gates 070,D03,P. vivax,16.44797446759,233.360778097554
SP0112286650,326,Samples,Run2,Colombia,Colombia,0.984375,176478,933.746031746032,2612.56814612285,413,695,129,824,Gates 070,D02,P. vivax,15.6629431369475,397.104813971291
SP0112286652,335,Samples,Run2,Colombia,Colombia,0.994791666666667,126978,664.806282722513,2576.56443415039,225,498,85,583,Gates 070,D11,P. vivax,17.2950828945071,131.490306043535
SP0112286655,332,Samples,Run2,Colombia,Colombia,0.572916666666667,5964,54.2181818181818,169.07738751572,20,22.75,11,33.75,Gates 070,D08,P. vivax,20.1874846792201,18.54555963321
SP0112286656,333,Samples,Run2,Colombia,Colombia,0.916666666666667,28628,162.659090909091,573.582603568905,69,110.75,27,137.75,Gates 070,D09,P. vivax,16.5547177406607,217.087454159777
SP0112286657,334,Samples,Run2,Colombia,Colombia,0.890625,37957,221.970760233918,565.566591771687,104,170.5,40,210.5,Gates 070,D10,P. vivax,15.5795477788395,420.176424784479
SP0112286660,329,Samples,Run2,Colombia,Colombia,0.770833333333333,12501,84.4662162162162,208.028007518498,35.5,61.5,19,80.5,Gates 070,D05,P. vivax,16.7923969057675,184.813381065375
SP0112286665,312,Samples,Run2,Colombia,Colombia,0.640625,7577,61.6016260162602,181.122399508983,29,42.5,15,57.5,Gates 070,B12,P. vivax,18.5988002110037,187.974775160191
SP0112286677,336,Samples,Run2,Colombia,Colombia,0.994791666666667,163608,856.586387434555,2310.86555705023,399,677.5,133.5,811,Gates 070,D12,P. vivax,15.9870583920564,318.847511285284
SP0112286679,324,Samples,Run2,Colombia,Colombia,0.895833333333333,30060,174.767441860465,573.377154066251,79,115.5,24.75,140.25,Gates 070,C12,P. vivax,17.443538540172,118.914006416565
SP0112286681,310,Samples,Run2,Colombia,Colombia,0.869791666666667,15606,93.4491017964072,216.944378488179,37,67,19.5,86.5,Gates 070,B10,P. vivax,19.7125676308882,158.786005143963
SP0112286682,309,Samples,Run2,Colombia,Colombia,0.8125,17871,114.557692307692,341.521533640921,50,79,21,100,Gates 070,B09,P. vivax,19.2999502793289,115.465239249291
SP0112286683,308,Samples,Run2,Colombia,Colombia,0.75,10808,75.0555555555556,203.295739579455,36,55.25,18,73.25,Gates 070,B08,P. vivax,19.8848270779165,174.859158096123
SP0112286685,307,Samples,Run2,Colombia,Colombia,0.708333333333333,14959,109.992647058824,342.930173139135,42.5,68.25,21.75,90,Gates 070,B07,P. vivax,21.3020425219434,28.2972559211158
SP0112286689,306,Samples,Run2,Colombia,Colombia,0.614583333333333,6153,52.1440677966102,119.866683453389,25,35.5,15,50.5,Gates 070,B06,P. vivax,20.5622536162451,7.19433417491229
SP0112286902,300,Samples,Run2,Colombia,Colombia,0.885416666666667,21569,126.876470588235,364.816030527006,52,81.5,20.25,101.75,Gates 070,A12,P. vivax,20.0194943880655,67.6461997720125
SP0112286928,289,Samples,Run2,Colombia,Colombia,0.515625,8094,81.7575757575758,132.78608629081,25,53,15,68,Gates 070,A01,P. vivax,16.9770244763852,564.971276802662
